,index,Actual,Predicted,,,actual rise or fall,,predicted rise or fall,,0
0,0,313.3224,316.189664,,,5.3476,,-2.724023207,,0
1,1,318.67,313.4656408,,,-0.2,,-0.139882273,,0
2,2,318.47,313.3257585,,,-2.15,,1.339924929,,-2.15
3,3,316.32,314.6656835,,,-10.636,,-8.444471941,,-2.15
4,4,305.684,306.2212115,,,12.246,,7.494744931,,10.096
5,5,317.93,313.7159565,,,-1.77,,0.971813685,,8.326
6,6,316.16,314.6877701,,,-1.225,,0.456457943,,7.101
7,7,314.935,315.1442281,,,-1.395,,0.677324689,,5.706
8,8,313.54,315.8215528,,,5.21,,-2.922803279,,5.706
9,9,318.75,312.8987495,,,-15.96,,-7.273878184,,5.706
10,10,302.79,305.6248713,,,10.57,,10.44699711,,16.276
11,11,313.36,316.0718684,,,-8.61,,-7.141358137,,16.276
12,12,304.75,308.9305103,,,2.11,,-2.878629929,,16.276
13,13,306.86,306.0518804,,,-1.48,,-2.105596317,,16.276
14,14,305.38,303.946284,,,5.83,,7.376949333,,22.106
15,15,311.21,311.3232334,,,2.24,,0.0294489,,24.346
16,16,313.45,311.3526823,,,-7.05,,-8.363487467,,24.346
17,17,306.4,302.9891948,,,8.18,,8.127896271,,32.526
18,18,314.58,311.1170911,,,4.03,,1.87000512,,36.556
19,19,318.61,312.9870962,,,-11.95,,-6.868955816,,36.556
20,20,306.66,306.1181404,,,-0.03,,-3.1363078,,36.556
21,21,306.63,302.9818326,,,-1.01,,6.721711318,,35.546
22,22,305.62,309.7035439,,,-1.8892,,-0.883466986,,35.546
23,23,303.7308,308.8200769,,,14.0692,,4.38788603,,49.6152
24,24,317.8,313.2079629,,,-0.23,,-0.839293637,,49.6152
25,25,317.57,312.3686693,,,-14.85,,-7.605178304,,49.6152
26,26,302.72,304.763491,,,13.87,,9.165969979,,63.4852
27,27,316.59,313.929461,,,-1.68,,1.384098278,,61.8052
28,28,314.91,315.3135593,,,1.92,,-0.728860263,,61.8052
29,29,316.83,314.584699,,,-11.6,,-10.73412388,,61.8052
30,30,305.23,303.8505751,,,11.8099,,10.06416142,,73.6151
31,31,317.0399,313.9147365,,,-4.0799,,2.370636412,,69.5352
32,32,312.96,316.2853729,,,-6.8324,,-12.55995565,,69.5352
33,33,306.1276,303.7254173,,,-0.9476,,1.58287835,,68.5876
34,34,305.18,305.3082956,,,12.06,,6.780609117,,80.6476
35,35,317.24,312.0889048,,,0.91,,1.612327249,,81.5576
36,36,318.15,313.701232,,,-12.92,,-4.10075926,,81.5576
37,37,305.23,309.6004728,,,-0.5927,,-1.119058182,,81.5576
38,38,304.6373,308.4814146,,,7.5627,,7.951202874,,89.1203
39,39,312.2,316.4326174,,,5.51,,-2.429534211,,89.1203
40,40,317.71,314.0030832,,,-4.2898,,2.105596317,,84.8305
41,41,313.4202,316.1086795,,,-0.3452,,-0.530080192,,84.8305
42,42,313.075,315.5785994,,,-9.7151,,-10.77829723,,84.8305
43,43,303.3599,304.8003021,,,2.14,,4.859068423,,86.9705
44,44,305.4999,309.6593706,,,-0.18,,-5.735173184,,86.9705
45,45,305.3199,303.9241974,,,-2.5399,,4.181743734,,84.4306
46,46,302.78,308.1059411,,,1.07,,-3.018512202,,84.4306
47,47,303.85,305.0874289,,,5.66,,0.640513565,,90.0906
48,48,309.51,305.7279425,,,-2.07,,-2.672487633,,90.0906
49,49,307.44,303.0554548,,,10.045,,9.335301152,,100.1356
50,50,317.485,312.390756,,,-11.185,,-5.963402155,,100.1356
51,51,306.3,306.4273538,,,-3.96,,-0.743584713,,100.1356
52,52,302.34,305.6837691,,,2.86,,-0.544804641,,100.1356
53,53,305.2,305.1389645,,,0.47,,-1.133782632,,100.1356
54,54,305.67,304.0051818,,,-1.95,,3.386623446,,98.1856
55,55,303.72,307.3918053,,,14.75,,5.690999835,,112.9356
56,56,318.47,313.0828051,,,-2.84,,-2.208667465,,112.9356
57,57,315.63,310.8741377,,,-9.39,,-4.476232729,,112.9356
58,58,306.24,306.3979049,,,-1.06,,0.161968947,,111.8756
59,59,305.18,306.5598739,,,12.48,,5.838244332,,124.3556
60,60,317.66,312.3981182,,,-3.29,,-1.634413924,,124.3556
61,61,314.37,310.7637043,,,-7.24,,-7.516831606,,124.3556
62,62,307.13,303.2468727,,,8.7605,,11.23475517,,133.1161
63,63,315.8905,314.4816279,,,-11.5805,,-7.23706706,,133.1161
64,64,304.31,307.2445608,,,3.38,,1.317838254,,136.4961
65,65,307.69,308.562399,,,-3.4099,,-0.279764546,,136.4961
66,66,304.2801,308.2826345,,,0.6666,,-0.655238015,,136.4961
67,67,304.9467,307.6273965,,,-1.8617,,-3.003787752,,136.4961
68,68,303.085,304.6236087,,,1.685,,0.831931412,,138.1811
69,69,304.77,305.4555401,,,0.79,,3.209930049,,138.9711
70,70,305.56,308.6654702,,,0.16,,-4.623477227,,138.9711
71,71,305.72,304.041993,,,1.32,,2.716660982,,140.2911
72,72,307.04,306.7586539,,,7.18,,4.233279308,,147.4711
73,73,314.22,310.9919333,,,-8.4454,,-7.575729405,,147.4711
74,74,305.7746,303.4162039,,,-2.8446,,1.494531651,,144.6265
75,75,302.93,304.9107355,,,2.8501,,-1.465082752,,144.6265
76,76,305.7801,303.4456528,,,-1.6701,,1.126420407,,142.9564
77,77,304.11,304.5720732,,,1.41,,-1.148507082,,142.9564
78,78,305.52,303.4235661,,,1.05,,3.254103398,,144.0064
79,79,306.57,306.6776695,,,1.18,,-3.75473469,,144.0064
80,80,307.75,302.9229348,,,1.7141,,14.1133851,,145.7205
81,81,309.4641,317.0363199,,,-1.7941,,-14.13547178,,145.7205
82,82,307.67,302.9008481,,,7.46,,8.024825122,,153.1805
83,83,315.13,310.9256732,,,-9.4145,,-3.835719164,,153.1805
84,84,305.7155,307.0899541,,,11.3595,,6.817420242,,164.54
85,85,317.075,313.9073743,,,-5.1351,,-3.423434571,,164.54
86,86,311.9399,310.4839397,,,-3.9299,,-0.537442416,,164.54
87,87,308.01,309.9464973,,,10.22,,3.062685551,,174.76
88,88,318.23,313.0091829,,,-12.25,,-9.364750051,,174.76
89,89,305.98,303.6444328,,,2.37,,6.611277945,,177.13
90,90,308.35,310.2557108,,,-5.19,,-2.84918103,,177.13
91,91,303.16,307.4065297,,,1.92,,-1.170593756,,177.13
92,92,305.08,306.235936,,,7.06,,10.35128819,,184.19
93,93,312.14,316.5872242,,,-7.89,,-12.04459991,,184.19
94,94,304.25,304.5426243,,,13.51,,9.084985506,,197.7
95,95,317.76,313.6276098,,,-2.29,,0.662600239,,195.41
96,96,315.47,314.29021,,,-10.6456,,-4.932690672,,195.41
97,97,304.8244,309.3575193,,,10.1756,,5.794070983,,205.5856
98,98,315,315.1515903,,,-12.0278,,-10.16723256,,205.5856
99,99,302.9722,304.9843578,,,1.8328,,3.931428088,,207.4184
100,100,304.805,308.9157858,,,9.8855,,6.434584548,,217.3039
101,101,314.6905,315.3503704,,,-0.1705,,-4.321626006,,217.3039
102,102,314.52,311.0287444,,,-10.13,,-2.002525168,,217.3039
103,103,304.39,309.0262192,,,-0.76,,-1.678587273,,217.3039
104,104,303.63,307.3476319,,,2.8,,-3.865168064,,217.3039
105,105,306.43,303.4824639,,,-1.45,,4.093397035,,215.8539
106,106,304.98,307.5758609,,,2.27,,2.326463063,,218.1239
107,107,307.25,309.902324,,,-1.62,,-2.135045216,,218.1239
108,108,305.63,307.7672788,,,8.71,,3.195205599,,226.8339
109,109,314.34,310.9624844,,,-9.75,,-2.51788091,,226.8339
110,110,304.59,308.4446034,,,13.02,,5.315526366,,239.8539
111,111,317.61,313.7601298,,,-10.98,,-10.55743048,,239.8539
112,112,306.63,303.2026993,,,0.89,,6.765884667,,240.7439
113,113,307.52,309.968584,,,6.86,,5.425959739,,247.6039
114,114,314.38,315.3945437,,,-0.1387,,-4.446783829,,247.6039
115,115,314.2413,310.9477599,,,-8.7813,,-4.365799356,,247.6039
116,116,305.46,306.5819606,,,13.32,,6.309426725,,260.9239
117,117,318.78,312.8913873,,,-11.93,,-9.813845769,,260.9239
118,118,306.85,303.0775415,,,8.57,,7.752422802,,269.4939
119,119,315.42,310.8299643,,,2.1798,,3.283552298,,271.6737
120,120,317.5998,314.1135166,,,-5.7898,,2.48843201,,265.8839
121,121,311.81,316.6019486,,,-2.16,,0.368111244,,263.7239
122,122,309.65,316.9700599,,,-3.96,,-7.443209357,,263.7239
123,123,305.69,309.5268505,,,-0.1422,,0.60370244,,263.5817
